OBJECTID	FOD_ID	FPA_ID	SOURCE_SYSTEM_TYPE	SOURCE_SYSTEM	NWCG_REPORTING_AGENCY	NWCG_REPORTING_UNIT_ID	NWCG_REPORTING_UNIT_NAME	SOURCE_REPORTING_UNIT	SOURCE_REPORTING_UNIT_NAME	LOCAL_FIRE_REPORT_ID	LOCAL_INCIDENT_ID	FIRE_CODE	FIRE_NAME	ICS_209_INCIDENT_NUMBER	ICS_209_NAME	MTBS_ID	MTBS_FIRE_NAME	COMPLEX_NAME	FIRE_YEAR	DISCOVERY_DATE	DISCOVERY_DOY	DISCOVERY_TIME	STAT_CAUSE_CODE	STAT_CAUSE_DESCR	CONT_DATE	CONT_DOY	CONT_TIME	FIRE_SIZE	FIRE_SIZE_CLASS	LATITUDE	LONGITUDE	OWNER_CODE	OWNER_DESCR	STATE	COUNTY	FIPS_CODE	FIPS_NAME	Shape
1723449	300001548	FS-1520235	FED	FS-FIRESTAT	FS	USMTBDF	Beaverhead/Deerlodge National Forest	0102	Beaverhead-Deerlodge NF	002	7-2	EKS3	SPRING CREEK						2014	2456682.5	25	0930	9	Miscellaneous	2456682.5	25	1200	0.1	A	46.02583333	-112.21972222	5	USFS	MT	Jefferson	043	Jefferson	
1723527	300001629	FS-1527502	FED	FS-FIRESTAT	FS	USMTBRF	Bitterroot National Forest	0103	Bitterroot National Forest	001	001	EKS4	SPOONER CHAFFIN						2014	2456676.5	19	2100	7	Arson	2456676.5	19	2200	0.1	A	45.97416667	-114.22666667	5	USFS	MT	Ravalli	081	Ravalli	
1723956	300002078	FS-1520249	FED	FS-FIRESTAT	FS	USSDBKF	Black Hills National Forest	0203	Black Hills National Forest	002	2	H1LC	THRALL						2014	2456682.5	25	1400	11	Powerline	2456687.5	30	1300	0.6	B	44.06722222	-103.44972222	5	USFS	SD	Pennington	103	Pennington	
1724097	300002225	FS-1521680	FED	FS-FIRESTAT	FS	USCOPSF	Pike and San Isabel National Forest	0212	Pike & San Isabel N.F.	003	03	H1LD	ENSIGN						2014	2456682.5	25	1550	10	Fireworks	2456683.5	26	1035	1.75	B	39.04472222	-104.98388889	5	USFS	CO	El Paso	041	El Paso	
1724098	300002226	FS-1521675	FED	FS-FIRESTAT	FS	USCOPSF	Pike and San Isabel National Forest	0212	Pike & San Isabel N.F.	002	02	H1D6	ILLINOIS GULCH						2014	2456671.5	14	1400	4	Campfire	2456675.5	18	0950	0.25	A	39.15388889	-105.09861111	5	USFS	CO	Douglas	035	Douglas	
1724442	300002575	FS-1520059	FED	FS-FIRESTAT	FS	USNMCIF	Cibola National Forest	0303	Cibola National Forest	011	1,2,3,4	H1DY	HIGHWAY 33 COMPLEX					HIGHWAY 33 COMPLEX	2014	2456671.5	14	0215	2	Equipment Use	2456671.5	14	0245	1.7	B	35.67166667	-99.56944444	13	STATE OR PRIVATE	OK	Roger Mills	129	Roger Mills	
1724479	300002612	FS-1526406	FED	FS-FIRESTAT	FS	USAZCOF	Coconino National Forest	0304	Coconino National Forest	003	3	HZ9C	AIRPORT						2014	2456684.5	27	1400	9	Miscellaneous	2456698.5	41	0900	0.4	B	35.13722222	-111.66666667	5	USFS	AZ	Coconino	005	Coconino	
1724518	300002651	FS-1527992	FED	FS-FIRESTAT	FS	USAZCOF	Coconino National Forest	0304	Coconino National Forest	002	2	HZ9C	PIPE						2014	2456678.5	21	0758	9	Miscellaneous	2456678.5	21	1300	0.1	A	35.22611111	-111.60805556	5	USFS	AZ	Coconino	005	Coconino	
1724523	300002656	FS-1528017	FED	FS-FIRESTAT	FS	USAZCOF	Coconino National Forest	0304	Coconino National Forest	001	001	HZ9C	DOUBLE DOWN						2014	2456677.5	20	1946	4	Campfire	2456698.5	41	1040	1	B	35.34916667	-111.49444444	5	USFS	AZ	Coconino	005	Coconino	
1724603	300002738	FS-1520319	FED	FS-FIRESTAT	FS	USAZCNF	Coronado National Forest	0305	Coronado National Forest	001	03-002	H1G3	LOWER CARR CANYON						2014	2456676.5	19	2100	4	Campfire	2456676.5	19	2200	0.1	A	31.44888889	-110.28388889	5	USFS	AZ	Cochise	003	Cochise	
1724606	300002741	FS-1522019	FED	FS-FIRESTAT	FS	USAZCNF	Coronado National Forest	0305	Coronado National Forest	021	03-010	H1ME	SYCAMORE 						2014	2456684.5	27	1030	4	Campfire	2456684.5	27	1050	0.1	A	31.36611111	-110.79722222	5	USFS	AZ	Santa Cruz	023	Santa Cruz	
1724620	300002755	FS-1520244	FED	FS-FIRESTAT	FS	USAZCNF	Coronado National Forest	0305	Coronado National Forest	002	01	H1N9	LITTLE BEAR						2014	2456687.5	30	1130	4	Campfire	2456689.5	32	1000	0.25	A	31.37777778	-110.6925	5	USFS	AZ	Pima	019	Pima	
1724725	300002860	FS-1520559	FED	FS-FIRESTAT	FS	USAZKNF	Kaibab National Forest	0307	Kaibab National Forest	002	02	EKV6	FLAT						2014	2456680.5	23	0658	9	Miscellaneous	2456680.5	23	0821	0.1	A	35.15166667	-112.45027778	5	USFS	AZ	Yavapai	025	Yavapai	
1724830	300002965	FS-1520998	FED	FS-FIRESTAT	FS	USAZPNF	Prescott National Forest	0309	Prescott National Forest	001	001	H07P	COPPER						2014	2456659.5	2	1443	7	Arson	2456659.5	2	1530	0.5	B	34.53444444	-111.90361111	5	USFS	AZ	Yavapai	025	Yavapai	
1724949	300003084	FS-1520113	FED	FS-FIRESTAT	FS	USAZTNF	Tonto National Forest	0312	Tonto National Forest	001	1	H1JJ	NATURAL						2014	2456680.5	23	1220	9	Miscellaneous	2456680.5	23	1415	0.1	A	34.14972222	-111.32666667	5	USFS	AZ	Gila	007	Gila	
1725589	300003734	FS-1520289	FED	FS-FIRESTAT	FS	USCAENF	Eldorado National Forest	0503	Eldorado National Forest	003	1	H1LW	PEBBLE						2014	2456683.5	26	1525	9	Miscellaneous	2456686.5	29	1414	0.44	B	38.70611111	-120.43833333	5	USFS	CA	El Dorado	017	El Dorado	
1725638	300003784	FS-1520143	FED	FS-FIRESTAT	FS	USCAENF	Eldorado National Forest	0503	Eldorado National Forest	002	02	H1GT	BEAR						2014	2456678.5	21	1119	2	Equipment Use	2456678.5	21	1557	0.2	A	38.89055556	-120.77944444	13	STATE OR PRIVATE	CA	El Dorado	017	El Dorado	
1725639	300003785	FS-1520069	FED	FS-FIRESTAT	FS	USCAENF	Eldorado National Forest	0503	Eldorado National Forest	001	1	H07Z	BARNER						2014	2456662.5	5	0749	4	Campfire	2456662.5	5	0920	2.3	B	38.94138889	-120.76638889	5	USFS	CA	El Dorado	017	El Dorado	
1725787	300003934	FS-1519915	FED	FS-FIRESTAT	FS	USCAKNF	Klamath National Forest	0505	Klamath National Forest	001	001	H08W	SKEAHAN						2014	2456664.5	7	0535	7	Arson	2456664.5	7	0545	0.1	A	41.85833333	-122.70416667	5	USFS	CA	Siskiyou	093	Siskiyou	
1725811	300003958	FS-1520192	FED	FS-FIRESTAT	FS	USCALNF	Lassen National Forest	0506	Lassen National Forest	002	1	H07Y	BUTTE CREEK						2014	2456662.5	5	0048	9	Miscellaneous	2456662.5	5	0300	0.1	A	40.64583333	-121.27944444	5	USFS	CA	Lassen	035	Lassen	
1725823	300003970	FS-1521223	FED	FS-FIRESTAT	FS	USCALNF	Lassen National Forest	0506	Lassen National Forest	001	01	H07N	CAMPBELL						2014	2456659.5	2	2000	4	Campfire	2456667.5	10	1200	865	E	40.065	-121.73833333	5	USFS	CA	Tehama	103	Tehama	
1725860	300004008	FS-1521015	FED	FS-FIRESTAT	FS	USCALPF	Los Padres National Forest	0507	Los Padres National Forest	003	LPF-282	EK1Y	CABIN						2014	2456681.5	24	1216	12	Structure	2456681.5	24	1320	0.1	A	34.6875	-119.30361111	13	STATE OR PRIVATE	CA	Ventura	111	Ventura	
1725873	300004022	FS-1527733	FED	FS-FIRESTAT	FS	USCALPF	Los Padres National Forest	0507	Los Padres National Forest	002	LPF-0042	EK1Y	ROAD						2014	2456661.5	4	1812	2	Equipment Use	2456661.5	4	1832	0.1	A	34.51027778	-119.82277778	13	STATE OR PRIVATE	CA	Santa Barbara	083	Santa Barbara	
1725890	300004039	FS-1520093	FED	FS-FIRESTAT	FS	USCAMDF	Modoc National Forest	0509	Modoc National Forest	001	29	H1E8	MDF BV RUSH						2014	2456675.5	18	1524	5	Debris Burning	2456676.5	19	1100	3.1	B	41.29083333	-120.89722222	13	STATE OR PRIVATE	CA	Modoc	049	Modoc	
1725996	300004146	FS-1520189	FED	FS-FIRESTAT	FS	USCASRF	Six Rivers National Forest	0510	Six Rivers National Forest	002	54 01	H1E7	ALLEN						2014	2456675.5	18	1402	5	Debris Burning	2456677.5	20	1732	1.3	B	40.27805556	-123.38888889	13	STATE OR PRIVATE	CA	Trinity	105	Trinity	
1725997	300004147	FS-1520188	FED	FS-FIRESTAT	FS	USCASRF	Six Rivers National Forest	0510	Six Rivers National Forest	001	51 01	EK11	DOME						2014	2456662.5	5	1451	9	Miscellaneous	2456663.5	6	1000	0.1	A	41.93361111	-123.85083333	5	USFS	CA	Del Norte	015	Del Norte	
1726083	300004233	FS-1519927	FED	FS-FIRESTAT	FS	USCAPNF	Plumas National Forest	0511	Plumas National Forest	001	001	H1AM	LIGHTNING						2014	2456667.5	10	0808	4	Campfire	2456667.5	10	0901	0.1	A	39.92777778	-120.49916667	5	USFS	CA	Plumas	063	Plumas	
1726145	300004295	FS-1525993	FED	FS-FIRESTAT	FS	USCABDF	San Bernardino National Forest	0512	San Bernardino National Forest	002	21	EK13	SNOW						2014	2456663.5	6	1852	4	Campfire	2456665.5	8	0930	0.75	B	34.26638889	-116.75694444	5	USFS	CA	San Bernardino	071	San Bernardino	
1726164	300004315	FS-1520333	FED	FS-FIRESTAT	FS	USCABDF	San Bernardino National Forest	0512	San Bernardino National Forest	004	732	H1CZ	HAUTELOOK						2014	2456672.5	15	2111	9	Miscellaneous	2456672.5	15	2200	0.1	A	34.19166667	-117.42833333	5	USFS	CA	San Bernardino	071	San Bernardino	
1726165	300004316	FS-1520334	FED	FS-FIRESTAT	FS	USCABDF	San Bernardino National Forest	0512	San Bernardino National Forest	006	1279	H1K1	WATERMAN						2014	2456682.5	25	1206	9	Miscellaneous	2456682.5	25	1430	0.5	B	34.20277778	-117.27916667	13	STATE OR PRIVATE	CA	San Bernardino	071	San Bernardino	
1726187	300004339	FS-1520335	FED	FS-FIRESTAT	FS	USCABDF	San Bernardino National Forest	0512	San Bernardino National Forest	009	1234	H1KT	CALL						2014	2456681.5	24	2015	2	Equipment Use	2456681.5	24	2030	0.1	A	34.34444444	-117.48222222	13	STATE OR PRIVATE	CA	San Bernardino	071	San Bernardino	
1726224	300004376	FS-1527547	FED	FS-FIRESTAT	FS	USCABDF	San Bernardino National Forest	0512	San Bernardino National Forest	007	3	EK13	WILDHORSE						2014	2456683.5	26	1128	4	Campfire	2456683.5	26	1448	0.1	A	34.19222222	-116.78972222	5	USFS	CA	San Bernardino	071	San Bernardino	
1726278	300004434	FS-1520105	FED	FS-FIRESTAT	FS	USCASQF	Sequoia National Forest	0513	Sequoia National Forest	002	001	H1EG	SODA	247609	SODA				2014	2456670.5	13	1000	9	Miscellaneous	2456738.5	81	0700	1435	F	36.20138889	-118.51805556	5	USFS	CA	Tulare	107	Tulare	
1726279	300004435	FS-1520104	FED	FS-FIRESTAT	FS	USCASQF	Sequoia National Forest	0513	Sequoia National Forest	001	001	H1AE	RABBIT 						2014	2456661.5	4	1505	4	Campfire	2456661.5	4	1705	0.1	A	36.70916667	-118.87472222	5	USFS	CA	Tulare	107	Tulare	
